census_tract_id,census_tract_label,total_crimes,crime_vehicle___stolen,crime_battery___simple_ass,crime_burglary_from_vehicl,crime_theft_of_identity,crime_vandalism___felony_(,crime_burglary,crime_theft_plain___petty_,crime_assault_with_deadly_,crime_intimate_partner___s,crime_theft_from_motor_veh
211803.0,2118.03,889,117.0,73.0,95.0,58.0,64.0,38.0,61.0,39.0,54.0,40.0
211804.0,2118.04,457,61.0,24.0,38.0,12.0,29.0,32.0,39.0,13.0,28.0,20.0
211910.0,2119.1,938,100.0,74.0,61.0,77.0,43.0,31.0,76.0,45.0,101.0,45.0
211921.0,2119.21,504,46.0,48.0,21.0,23.0,45.0,24.0,40.0,37.0,31.0,16.0
211922.0,2119.22,180,30.0,12.0,14.0,15.0,9.0,3.0,17.0,6.0,19.0,10.0
212101.0,2121.01,1989,193.0,221.0,144.0,67.0,111.0,96.0,160.0,150.0,68.0,71.0
212102.0,2121.02,708,75.0,61.0,74.0,24.0,53.0,20.0,40.0,33.0,26.0,24.0
212202.0,2122.02,755,60.0,72.0,25.0,52.0,52.0,33.0,48.0,58.0,59.0,25.0
212203.0,2122.03,860,54.0,100.0,38.0,25.0,68.0,39.0,57.0,55.0,69.0,23.0
212204.0,2122.04,889,74.0,75.0,74.0,52.0,64.0,36.0,55.0,66.0,70.0,40.0
212303.0,2123.03,663,58.0,53.0,60.0,51.0,34.0,52.0,55.0,37.0,54.0,16.0
212304.0,2123.04,652,47.0,78.0,28.0,40.0,32.0,29.0,48.0,36.0,32.0,16.0
212305.0,2123.05,660,66.0,69.0,30.0,37.0,47.0,21.0,47.0,52.0,61.0,20.0
212306.0,2123.06,528,69.0,58.0,30.0,37.0,26.0,26.0,29.0,40.0,38.0,19.0
212410.0,2124.1,831,100.0,59.0,109.0,44.0,49.0,51.0,59.0,30.0,38.0,37.0
212420.0,2124.2,623,66.0,70.0,21.0,31.0,26.0,42.0,49.0,44.0,47.0,23.0
212501.0,2125.01,271,32.0,17.0,15.0,18.0,8.0,34.0,21.0,10.0,30.0,16.0
212502.0,2125.02,1663,197.0,142.0,170.0,59.0,102.0,90.0,138.0,88.0,87.0,57.0
212610.0,2126.1,1180,146.0,72.0,100.0,45.0,79.0,117.0,73.0,55.0,37.0,70.0
212620.0,2126.2,810,119.0,57.0,67.0,40.0,44.0,53.0,56.0,17.0,40.0,53.0
212701.0,2127.01,657,100.0,38.0,69.0,31.0,44.0,97.0,30.0,11.0,12.0,39.0
212702.0,2127.02,1003,113.0,47.0,73.0,51.0,68.0,126.0,51.0,29.0,17.0,50.0
212800.0,2128.0,1138,138.0,60.0,77.0,76.0,77.0,73.0,70.0,46.0,27.0,51.0
212900.0,2129.0,1028,136.0,64.0,57.0,45.0,59.0,57.0,59.0,40.0,44.0,52.0
213100.0,2131.0,1595,203.0,129.0,125.0,75.0,109.0,113.0,78.0,70.0,56.0,78.0
213201.0,2132.01,1162,152.0,92.0,105.0,65.0,76.0,95.0,59.0,44.0,59.0,48.0
213202.0,2132.02,761,97.0,49.0,58.0,35.0,47.0,85.0,37.0,39.0,37.0,28.0
213310.0,2133.1,969,115.0,67.0,63.0,49.0,71.0,89.0,50.0,43.0,56.0,51.0
213320.0,2133.2,962,105.0,80.0,52.0,60.0,88.0,52.0,44.0,66.0,53.0,41.0
213401.0,2134.01,616,63.0,69.0,30.0,36.0,44.0,25.0,30.0,25.0,48.0,24.0
