X,Y,FID,OBJECTID,LOCN,CATEGORY,CAT_DESC,MPD_NAME,ADDRESS,CITY,ZIP,MPD_TYPE,MAP_TYPE,SITE_POLY,MAP_POLY,LABEL,MAP_DESC,MPD_DESC,PLANREF1,INDEXCHTR,PHASE,CAL,ORIGNAME,CONFIG,CONGRESS,ASSEMBLY,BOE,LACOUNCIL,SENATE,SUPERVISOR,FULLNAME,CDSCODE,CHARTER,P_ESC,ESC,SCHOOL_ID,CCC,DLP,LD,P_LD,PREFCCC,PREFLOCN,ACTIVE,SCH_FLAG,SITE_ID,COS,COS_CCC,COSID,COS_ID,LOGRD,HIGRD,PIC_NAME,PHY_COS,LATITUDE,LONGITUDE,BSYS_TYP,BSYS_CLAS,YEAROPENED,PSC,PROP39,BOE_OLD,TYPEWEB,REGION,PHY_REGION,LAUSD_SCH,WEBLABEL,PRIORITY
-13199135.9601502,4058322.27938994,348,98,7836, , ,WINNETKA AVE ES,8240 WINNETKA AVE,CANOGA PARK,91306,E,ES,Y,ES_Y,Winnetka Ave,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Y,4,1 TRK,Winnetka Ave,K-5,32,46,3,3,20,3,Winnetka Avenue Elementary School,19647336020002,N,NORTH,N,7836,1783601,N,NW,NW,1783601,7836,Yes,Y,13515,Cleveland CoS,1351301,3513,3513,0,5,Winnetka Ave El,Cleveland CoS,34.21955864,-118.56984345,E,Elementary School,1925, , ,3,ES,N,N,Yes,Winnetka Ave El, 
-13197939.7410589,4057033.04905181,349,99,5233, , ,MELVIN AVE ES,7700 MELVIN AVE,RESEDA,91335,E,ES,Y,ES_Y,Melvin Ave,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Y,2,1 TRK,Melvin Ave,K-5,32,46,3,3,20,3,Melvin Avenue Elementary School,19647336018121,N,NORTH,N,5233,1523301,N,NW,NW,1523301,5233,Yes,Y,13719,Cleveland CoS,1351301,3513,3513,0,5,Melvin Ave El,Cleveland CoS,34.2099816,-118.55909763,E,Elementary School,1953, , ,3,ES,N,N,Yes,Melvin Ave El, 
-13196633.7411073,4058091.45353301,350,100,8590,CCA,Charter Conversion Affiliated,CLEVELAND CHRTR,8140 VANALDEN AVE,RESEDA,91335,S,CCA,Y,CCA_Y,Cleveland Chrtr,Charter Conversion Affiliated - High School Level,High School,0,Y,4,1 TRK,Cleveland High,9-12,32,46,3,4,20,3,Grover Cleveland Charter School,19647331931864,Y,NORTH,N,8590,1859001,N,NW,NW,1859001,8590,Yes,Y,13753,Cleveland CoS,1351301,3513,3513,9,12,Cleveland CHS,Cleveland CoS,34.21784403,-118.54736563,S,Senior High School,1959, , ,3,CCA,N,N,Yes,Cleveland CHS, 
-13191716.799154,4062153.5038476,351,60,2269, , ,BALBOA G/HA MAG,17020 LABRADOR ST,NORTHRIDGE,91325,ES,M,Y,M_Y,Balboa Blvd Mag,Magnet School,Elementary School Magnet - Self Contained,0,Y, ,1 TRK,Balboa Blvd Magnet,1-5,32,40,3,12,27,3,Balboa Gifted/High Ability Magnet Elementary,19647336100069,N,NORTH,N,2269,1226901,N,NW,NW,1226901,2269,Yes,Y,13840,Kennedy/NAHS/VAAS CoS,1351401,3514,3514,1,5,Balboa El G/HG/HA Mag,Kennedy/NAHS/VAAS CoS,34.24801241,-118.503196,ES,Magnet-Self Contained (Elem),1960, , ,3,M,N,N,Yes,Balboa El G/HG/HA Mag, 
-13188967.1527411,4060750.29225301,352,61,8768, , ,MONROE HS,9229 HASKELL AVE,NORTH HILLS,91343,S,HS,Y,HS_Y,Monroe High,"High School (High School, Academy School, Continuation High School, Newcomer School, Community Day School, Special Ed School, Magnet Center on Regular Campus)",High School,0,Y, ,1 TRK,Monroe High,9-12,32,40,6,12,27,3,James Monroe High School,19647331935865,N,NORTH,XP,8768,1876801,N,NW,NW,1876801,8768,Yes,Y,13704,Monroe CoS,1351501,3515,3515,9,12,Monroe SH,Monroe CoS,34.23759214,-118.47849551,S,Senior High School,1958, , ,6,HS,N,N,Yes,Monroe SH, 
-13192205.1871868,4060850.41280446,353,62,3377,CCA,Charter Conversion Affiliated,DEARBORN CHRTR ACAD,9240 WISH AVE,NORTHRIDGE,91325,E,CCA,Y,CCA_Y,Dearborn Chrtr Acad,Charter Conversion Affiliated - Elementary School Level,Elementary School,0,Y,4,1 TRK,Dearborn St,TK-5,32,40,3,12,27,3,Dearborn Elementary Charter Academy,19647336016729,Y,NORTH,N,3377,1337701,N,NW,NW,1337701,3377,Yes,Y,13762,Monroe CoS,1351501,3515,3515,0,5,Dearborn El CA,Monroe CoS,34.23833568,-118.50758326,E,Elementary School,1965, , ,3,CCA,N,N,Yes,Dearborn El CA, 
-13186910.2436203,4061146.1714445,354,63,6123, , ,PLUMMER ES,9340 NOBLE AVE,NORTH HOLLYWOOD,91343,E,ES,Y,ES_Y,Plummer,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Y,4,1 TRK,Plummer,K-6,29,43,6,7,20,3,Plummer Elementary School,19647336018758,N,NORTH,N,6123,1612301,N,NW,NW,1612301,6123,Yes,Y,13878,Monroe CoS,1351501,3515,3515,0,6,Plummer El,Monroe CoS,34.24053208,-118.46001798,E,Elementary School,1952, , ,6,ES,N,N,Yes,Plummer El, 
-13188840.4105191,4062686.95660094,355,65,7562, , ,VINTAGE MATH/SCI MAG,15848 STARE ST,NORTH HOLLYWOOD,91343,ES,M,Y,M_Y,Vintage Sci/Math Mag,Magnet School,Elementary School Magnet - Self Contained,0,Y,3,1 TRK,Vintage St Magnet,K-5,32,40,3,12,20,3,Vintage Math/Science/Technology Magnet,19647336019798,N,NORTH,N,7562,1756201,N,NW,NW,1756201,7562,Yes,Y,13694,Monroe CoS,1351501,3515,3515,0,5,Vintage El M/S/T Mag,Monroe CoS,34.2519735,-118.47735696,ES,Magnet-Self Contained (Elem),1955, , ,3,M,N,N,Yes,Vintage El M/S/T Mag, 
-13186629.9810397,4064019.97991754,356,66,6479, , ,SAN JOSE ST ES,14928 CLYMER ST,MISSION HILLS,91345,E,ES,Y,ES_Y,San Jose St,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Y, ,1 TRK,San Jose St,K-5,29,43,6,7,20,3,San Jose Street Elementary School,19647336019038,N,NORTH,N,6479,1647901,N,NW,NW,1647901,6479,Yes,Y,13691,Kennedy/NAHS/VAAS CoS,1351401,3514,3514,0,5,San Jose St El,Kennedy/NAHS/VAAS CoS,34.26187089,-118.45750034,E,Elementary School,1955, , ,6,ES,N,N,Yes,San Jose St El, 
-13196770.6226653,4058409.57065935,357,101,1910, , ,J MILLER CAREER/TRANSITION CTR,8218 VANALDEN AVE,RESEDA,91335,H,HS,Y,HS_Y,J Miller Career/Transition Ctr,"High School (High School, Academy School, Continuation High School, Newcomer School, Community Day School, Special Ed School, Magnet Center on Regular Campus)",Handicapped (Special Ed),0,Y,3,1 TRK,Miller High (Spec),12-12,32,46,3,4,20,3,Joaquin Miller Career and Transition Center,19647331935717,N,NORTH,N,1910,1191001,N,NW,NW,1191001,1910,Yes,Y,15164,Cleveland CoS,1351301,3513,3513,12,12,Miller CTC,Cleveland CoS,34.22020704,-118.54859526,H,Special Education,1964, , ,3,HS,N,N,Yes,Miller CTC, 
